time 264.39, 6.250000% cpu usage
time 264.89, 5.426357% cpu usage
time 265.39, 5.468750% cpu usage
time 265.89, 7.031250% cpu usage
time 266.39, 5.468750% cpu usage
time 266.89, 5.468750% cpu usage
time 267.39, 4.687500% cpu usage
time 267.89, 7.031250% cpu usage
time 268.39, 3.906250% cpu usage
time 268.89, 6.250000% cpu usage
time 269.39, 4.687500% cpu usage
time 269.89, 5.468750% cpu usage
time 270.40, 8.593750% cpu usage
time 270.90, 6.250000% cpu usage
time 271.40, 7.812500% cpu usage
time 271.90, 7.812500% cpu usage
time 272.40, 7.031250% cpu usage
time 272.90, 3.906250% cpu usage
time 273.40, 4.687500% cpu usage
time 273.90, 6.250000% cpu usage
time 274.40, 5.468750% cpu usage
time 274.90, 7.031250% cpu usage
time 275.40, 6.250000% cpu usage
time 275.90, 5.468750% cpu usage
time 276.40, 3.906250% cpu usage
time 276.90, 2.343750% cpu usage
time 277.40, 4.651163% cpu usage
time 277.90, 6.976744% cpu usage
time 278.41, 6.299213% cpu usage
time 278.91, 8.461538% cpu usage
time 279.41, 7.031250% cpu usage
time 279.91, 6.250000% cpu usage
time 280.41, 6.976744% cpu usage
time 280.91, 6.250000% cpu usage
time 281.41, 7.031250% cpu usage
time 281.91, 5.468750% cpu usage
time 282.41, 7.031250% cpu usage
time 282.91, 5.468750% cpu usage
time 283.41, 4.687500% cpu usage
time 283.91, 9.375000% cpu usage
time 284.41, 8.593750% cpu usage
time 284.91, 6.250000% cpu usage
time 285.41, 8.593750% cpu usage
time 285.91, 7.812500% cpu usage
time 286.41, 7.812500% cpu usage
time 286.92, 7.031250% cpu usage
time 287.42, 6.250000% cpu usage
time 287.92, 10.156250% cpu usage
time 288.42, 7.812500% cpu usage
time 288.92, 9.375000% cpu usage
time 289.42, 9.375000% cpu usage
time 289.92, 7.031250% cpu usage
time 290.42, 7.031250% cpu usage
time 290.92, 14.062500% cpu usage
time 291.42, 12.500000% cpu usage
time 291.92, 10.156250% cpu usage
time 292.42, 4.545455% cpu usage
time 292.92, 5.600000% cpu usage
time 293.42, 6.106870% cpu usage
time 293.92, 5.468750% cpu usage
time 294.42, 7.031250% cpu usage
time 294.92, 6.250000% cpu usage
time 295.43, 7.031250% cpu usage
time 295.93, 7.812500% cpu usage
time 296.43, 5.468750% cpu usage
time 296.93, 6.250000% cpu usage
time 297.43, 5.468750% cpu usage
time 297.93, 7.031250% cpu usage
time 298.43, 7.031250% cpu usage
time 298.93, 7.031250% cpu usage
time 299.43, 4.687500% cpu usage
time 299.93, 6.250000% cpu usage
time 300.43, 5.468750% cpu usage
time 300.93, 7.031250% cpu usage
time 301.43, 6.250000% cpu usage
time 301.93, 5.468750% cpu usage
time 302.43, 6.250000% cpu usage
time 302.94, 5.468750% cpu usage
time 303.44, 6.250000% cpu usage
time 303.94, 6.250000% cpu usage
time 304.44, 6.818182% cpu usage
time 304.94, 5.511811% cpu usage
time 305.44, 6.250000% cpu usage
time 305.94, 4.651163% cpu usage
time 306.44, 6.250000% cpu usage
time 306.94, 4.687500% cpu usage
time 307.44, 7.031250% cpu usage
time 307.94, 5.468750% cpu usage
time 308.44, 6.250000% cpu usage
time 308.94, 6.250000% cpu usage
time 309.44, 6.250000% cpu usage
time 309.94, 6.250000% cpu usage
time 310.44, 6.250000% cpu usage
time 310.94, 6.250000% cpu usage
time 311.44, 5.468750% cpu usage
time 311.95, 5.468750% cpu usage
time 312.45, 7.031250% cpu usage
time 312.95, 7.031250% cpu usage
time 313.45, 6.250000% cpu usage
time 313.95, 6.250000% cpu usage
time 314.45, 7.031250% cpu usage
time 314.95, 4.687500% cpu usage
time 315.45, 7.031250% cpu usage
time 315.95, 3.787879% cpu usage
time 316.45, 3.937008% cpu usage
time 316.95, 4.651163% cpu usage
time 317.45, 7.086614% cpu usage
time 317.95, 9.302326% cpu usage
time 318.45, 4.687500% cpu usage
time 318.96, 5.468750% cpu usage
time 319.46, 7.031250% cpu usage
time 319.96, 7.812500% cpu usage
time 320.46, 7.812500% cpu usage
time 320.96, 7.812500% cpu usage
time 321.46, 6.250000% cpu usage
time 321.96, 6.250000% cpu usage
time 322.46, 7.031250% cpu usage
time 322.96, 7.031250% cpu usage
time 323.46, 7.812500% cpu usage
time 323.96, 6.250000% cpu usage
time 324.46, 10.156250% cpu usage
time 324.96, 4.687500% cpu usage
time 325.46, 5.468750% cpu usage
time 325.96, 7.031250% cpu usage
time 326.47, 8.593750% cpu usage
time 326.97, 6.250000% cpu usage
time 327.47, 7.633588% cpu usage
time 327.97, 7.936508% cpu usage
time 328.47, 7.633588% cpu usage
time 328.97, 5.555556% cpu usage
time 329.47, 6.976744% cpu usage
time 329.97, 4.687500% cpu usage
time 330.47, 7.812500% cpu usage
time 330.97, 8.527132% cpu usage
time 331.47, 6.250000% cpu usage
time 331.97, 6.250000% cpu usage
time 332.47, 7.031250% cpu usage
time 332.97, 5.468750% cpu usage
time 333.47, 6.250000% cpu usage
time 333.98, 6.250000% cpu usage
time 334.48, 7.031250% cpu usage
time 334.98, 5.468750% cpu usage
time 335.48, 4.687500% cpu usage
time 335.98, 7.812500% cpu usage
time 336.48, 4.687500% cpu usage
time 336.98, 4.687500% cpu usage
time 337.48, 5.468750% cpu usage
time 337.98, 9.375000% cpu usage
time 338.48, 7.031250% cpu usage
time 338.98, 4.580153% cpu usage
time 339.48, 7.086614% cpu usage
time 339.99, 4.615385% cpu usage
time 340.49, 7.031250% cpu usage
time 340.99, 7.086614% cpu usage
time 341.49, 7.812500% cpu usage
time 341.99, 6.201550% cpu usage
time 342.49, 4.687500% cpu usage
time 342.99, 5.468750% cpu usage
time 343.49, 8.593750% cpu usage
time 343.99, 5.468750% cpu usage
time 344.49, 6.250000% cpu usage
time 344.99, 5.468750% cpu usage
time 345.49, 3.125000% cpu usage
time 345.99, 7.812500% cpu usage
time 346.49, 7.812500% cpu usage
time 346.99, 6.250000% cpu usage
time 347.49, 3.906250% cpu usage
time 348.00, 7.812500% cpu usage
time 348.50, 7.812500% cpu usage
time 349.00, 7.812500% cpu usage
time 349.50, 5.468750% cpu usage
time 350.00, 6.250000% cpu usage
time 350.50, 5.468750% cpu usage
time 351.00, 6.250000% cpu usage
time 351.50, 6.870229% cpu usage
time 352.00, 5.468750% cpu usage
time 352.50, 5.426357% cpu usage
time 353.00, 6.250000% cpu usage
time 353.50, 7.031250% cpu usage
time 354.00, 7.812500% cpu usage
time 354.50, 7.812500% cpu usage
time 355.00, 8.593750% cpu usage
time 355.51, 7.031250% cpu usage
time 356.01, 10.156250% cpu usage
time 356.51, 9.375000% cpu usage
time 357.01, 6.250000% cpu usage
time 357.51, 10.156250% cpu usage
time 358.01, 7.812500% cpu usage
time 358.51, 7.812500% cpu usage
time 359.01, 5.468750% cpu usage
time 359.51, 6.250000% cpu usage
time 360.01, 7.031250% cpu usage
time 360.51, 6.250000% cpu usage
time 361.01, 7.031250% cpu usage
time 361.51, 8.593750% cpu usage
time 362.01, 9.375000% cpu usage
time 362.51, 6.201550% cpu usage
time 363.02, 4.580153% cpu usage
time 363.52, 9.375000% cpu usage
time 364.02, 5.468750% cpu usage
time 364.52, 7.874016% cpu usage
time 365.02, 10.156250% cpu usage
time 365.52, 6.976744% cpu usage
time 366.02, 7.812500% cpu usage
time 366.52, 5.468750% cpu usage
time 367.02, 7.031250% cpu usage
time 367.52, 8.593750% cpu usage
time 368.02, 8.593750% cpu usage
time 368.52, 7.812500% cpu usage
time 369.02, 8.593750% cpu usage
time 369.52, 7.031250% cpu usage
time 370.02, 5.468750% cpu usage
time 370.53, 6.250000% cpu usage
time 371.03, 5.468750% cpu usage
time 371.53, 6.250000% cpu usage
time 372.03, 7.031250% cpu usage
time 372.53, 7.812500% cpu usage
time 373.03, 8.593750% cpu usage
time 373.53, 9.375000% cpu usage
time 374.03, 8.593750% cpu usage
time 374.53, 8.333333% cpu usage
time 375.03, 8.593750% cpu usage
time 375.53, 5.468750% cpu usage
time 376.03, 11.718750% cpu usage
time 376.53, 10.156250% cpu usage
time 377.03, 7.142857% cpu usage
time 377.53, 9.230769% cpu usage
time 378.04, 10.236220% cpu usage
time 378.54, 10.077519% cpu usage
time 379.04, 10.156250% cpu usage
time 379.54, 10.937500% cpu usage
time 380.04, 7.812500% cpu usage
